Vivado Simulator 2018.3
Time resolution is 1 ps
simtime = 278, datain =10001011, dataout =00111101 
simtime = 280, datain =10001100, dataout =01100100 
simtime = 282, datain =10001101, dataout =01011101 
simtime = 284, datain =10001110, dataout =00011001 
simtime = 286, datain =10001111, dataout =01110011 
simtime = 288, datain =10010000, dataout =01100000 
simtime = 290, datain =10010001, dataout =10000001 
simtime = 292, datain =10010010, dataout =01001111 
simtime = 294, datain =10010011, dataout =11011100 
simtime = 296, datain =10010100, dataout =00100010 
simtime = 298, datain =10010101, dataout =00101010 
simtime = 300, datain =10010110, dataout =10010000 
simtime = 302, datain =10010111, dataout =10001000 
simtime = 304, datain =10011000, dataout =01000110 
simtime = 306, datain =10011001, dataout =11101110 
simtime = 308, datain =10011010, dataout =10111000 
simtime = 310, datain =10011011, dataout =00010100 
simtime = 312, datain =10011100, dataout =11011110 
simtime = 314, datain =10011101, dataout =01011110 
simtime = 316, datain =10011110, dataout =00001011 
simtime = 318, datain =10011111, dataout =11011011 
simtime = 320, datain =10100000, dataout =11100000 
simtime = 322, datain =10100001, dataout =00110010 
simtime = 324, datain =10100010, dataout =00111010 
simtime = 326, datain =10100011, dataout =00001010 
simtime = 328, datain =10100100, dataout =01001001 
simtime = 330, datain =10100101, dataout =00000110 
simtime = 332, datain =10100110, dataout =00100100 
simtime = 334, datain =10100111, dataout =01011100 
simtime = 336, datain =10101000, dataout =11000010 
simtime = 338, datain =10101001, dataout =11010011 
simtime = 340, datain =10101010, dataout =10101100 
simtime = 342, datain =10101011, dataout =01100010 
simtime = 344, datain =10101100, dataout =10010001 
simtime = 346, datain =10101101, dataout =10010101 
simtime = 348, datain =10101110, dataout =11100100 
simtime = 350, datain =10101111, dataout =01111001 
simtime = 352, datain =10110000, dataout =11100111 
simtime = 354, datain =10110001, dataout =11001000 
simtime = 356, datain =10110010, dataout =00110111 
simtime = 358, datain =10110011, dataout =01101101 
simtime = 360, datain =10110100, dataout =10001101 
simtime = 362, datain =10110101, dataout =11010101 
simtime = 364, datain =10110110, dataout =01001110 
simtime = 366, datain =10110111, dataout =10101001 
simtime = 368, datain =10111000, dataout =01101100 
simtime = 370, datain =10111001, dataout =01010110 
simtime = 372, datain =10111010, dataout =11110100 
simtime = 374, datain =10111011, dataout =11101010 
simtime = 376, datain =10111100, dataout =01100101 
simtime = 378, datain =10111101, dataout =01111010 
simtime = 380, datain =10111110, dataout =10101110 
simtime = 382, datain =10111111, dataout =00001000 
simtime = 384, datain =11000000, dataout =10111010 
simtime = 386, datain =11000001, dataout =01111000 
simtime = 388, datain =11000010, dataout =00100101 
simtime = 390, datain =11000011, dataout =00101110 
simtime = 392, datain =11000100, dataout =00011100 
simtime = 394, datain =11000101, dataout =10100110 
simtime = 396, datain =11000110, dataout =10110100 
simtime = 398, datain =11000111, dataout =11000110 
simtime = 400, datain =11001000, dataout =11101000 
simtime = 402, datain =11001001, dataout =11011101 
simtime = 404, datain =11001010, dataout =01110100 
simtime = 406, datain =11001011, dataout =00011111 
simtime = 408, datain =11001100, dataout =01001011 
simtime = 410, datain =11001101, dataout =10111101 
simtime = 412, datain =11001110, dataout =10001011 
simtime = 414, datain =11001111, dataout =10001010 
simtime = 416, datain =11010000, dataout =01110000 
simtime = 418, datain =11010001, dataout =00111110 
simtime = 420, datain =11010010, dataout =10110101 
simtime = 422, datain =11010011, dataout =01100110 
simtime = 424, datain =11010100, dataout =01001000 
simtime = 426, datain =11010101, dataout =00000011 
simtime = 428, datain =11010110, dataout =11110110 
simtime = 430, datain =11010111, dataout =00001110 
simtime = 432, datain =11011000, dataout =01100001 
simtime = 434, datain =11011001, dataout =00110101 
simtime = 436, datain =11011010, dataout =01010111 
simtime = 438, datain =11011011, dataout =10111001 
simtime = 440, datain =11011100, dataout =10000110 
simtime = 442, datain =11011101, dataout =11000001 
simtime = 444, datain =11011110, dataout =00011101 
simtime = 446, datain =11011111, dataout =10011110 
simtime = 448, datain =11100000, dataout =11100001 
simtime = 450, datain =11100001, dataout =11111000 
simtime = 452, datain =11100010, dataout =10011000 
simtime = 454, datain =11100011, dataout =00010001 
simtime = 456, datain =11100100, dataout =01101001 
simtime = 458, datain =11100101, dataout =11011001 
simtime = 460, datain =11100110, dataout =10001110 
simtime = 462, datain =11100111, dataout =10010100 
simtime = 464, datain =11101000, dataout =10011011 
simtime = 466, datain =11101001, dataout =00011110 
simtime = 468, datain =11101010, dataout =10000111 
simtime = 470, datain =11101011, dataout =11101001 
simtime = 472, datain =11101100, dataout =11001110 
simtime = 474, datain =11101101, dataout =01010101 
simtime = 476, datain =11101110, dataout =00101000 
simtime = 478, datain =11101111, dataout =11011111 
simtime = 480, datain =11110000, dataout =10001100 
simtime = 482, datain =11110001, dataout =10100001 
simtime = 484, datain =11110010, dataout =10001001 
simtime = 486, datain =11110011, dataout =00001101 
simtime = 488, datain =11110100, dataout =10111111 
simtime = 490, datain =11110101, dataout =11100110 
simtime = 492, datain =11110110, dataout =01000010 
simtime = 494, datain =11110111, dataout =01101000 
simtime = 496, datain =11111000, dataout =01000001 
simtime = 498, datain =11111001, dataout =10011001 
simtime = 500, datain =11111010, dataout =00101101 
simtime = 502, datain =11111011, dataout =00001111 
simtime = 504, datain =11111100, dataout =10110000 
simtime = 506, datain =11111101, dataout =01010100 
simtime = 508, datain =11111110, dataout =10111011 
simtime = 510, datain =11111111, dataout =00010110 
