Vivado Simulator 2018.3
Time resolution is 1 ps
simtime = 1278, datain =01000000, dataout =01110101 
simtime = 1282, datain =01000001, dataout =00001001 
simtime = 1286, datain =01000010, dataout =10000011 
simtime = 1290, datain =01000011, dataout =00101100 
simtime = 1294, datain =01000100, dataout =00011010 
simtime = 1298, datain =01000101, dataout =00011011 
simtime = 1302, datain =01000110, dataout =01101110 
simtime = 1306, datain =01000111, dataout =01011010 
simtime = 1310, datain =01001000, dataout =10100000 
simtime = 1314, datain =01001001, dataout =01010010 
simtime = 1318, datain =01001010, dataout =00111011 
simtime = 1322, datain =01001011, dataout =11010110 
simtime = 1326, datain =01001100, dataout =10110011 
simtime = 1330, datain =01001101, dataout =00101001 
simtime = 1334, datain =01001110, dataout =11100011 
simtime = 1338, datain =01001111, dataout =00101111 
simtime = 1342, datain =01010000, dataout =10000100 
simtime = 1346, datain =01010001, dataout =01010011 
simtime = 1350, datain =01010010, dataout =11010001 
simtime = 1354, datain =01010011, dataout =00000000 
simtime = 1358, datain =01010100, dataout =11101101 
simtime = 1362, datain =01010101, dataout =00100000 
simtime = 1366, datain =01010110, dataout =11111100 
simtime = 1370, datain =01010111, dataout =10110001 
simtime = 1374, datain =01011000, dataout =01011011 
simtime = 1378, datain =01011001, dataout =01101010 
simtime = 1382, datain =01011010, dataout =11001011 
simtime = 1386, datain =01011011, dataout =10111110 
simtime = 1390, datain =01011100, dataout =00111001 
simtime = 1394, datain =01011101, dataout =01001010 
simtime = 1398, datain =01011110, dataout =01001100 
simtime = 1402, datain =01011111, dataout =01011000 
simtime = 1406, datain =01100000, dataout =11001111 
simtime = 1410, datain =01100001, dataout =11010000 
simtime = 1414, datain =01100010, dataout =11101111 
simtime = 1418, datain =01100011, dataout =10101010 
simtime = 1422, datain =01100100, dataout =11111011 
simtime = 1426, datain =01100101, dataout =01000011 
simtime = 1430, datain =01100110, dataout =01001101 
simtime = 1434, datain =01100111, dataout =00110011 
simtime = 1438, datain =01101000, dataout =10000101 
simtime = 1442, datain =01101001, dataout =01000101 
simtime = 1446, datain =01101010, dataout =11111001 
simtime = 1450, datain =01101011, dataout =00000010 
simtime = 1454, datain =01101100, dataout =01111111 
