Vivado Simulator 2018.3
Time resolution is 1 ps
simtime = 139, datain =10001011, dataout =10001000 
simtime = 140, datain =10001100, dataout =10001011 
simtime = 141, datain =10001101, dataout =01001101 
simtime = 142, datain =10001110, dataout =11011011 
simtime = 143, datain =10001111, dataout =10111000 
simtime = 144, datain =10010000, dataout =10001111 
simtime = 145, datain =10010001, dataout =10010001 
simtime = 146, datain =10010010, dataout =00000011 
simtime = 147, datain =10010011, dataout =00111111 
simtime = 148, datain =10010100, dataout =00100010 
simtime = 149, datain =10010101, dataout =11101100 
simtime = 150, datain =10010110, dataout =01100000 
simtime = 151, datain =10010111, dataout =10001000 
simtime = 152, datain =10011000, dataout =00110111 
simtime = 153, datain =10011001, dataout =11110010 
simtime = 154, datain =10011010, dataout =10111000 
simtime = 155, datain =10011011, dataout =11101011 
simtime = 156, datain =10011100, dataout =11101000 
simtime = 157, datain =10011101, dataout =10001000 
simtime = 158, datain =10011110, dataout =11101011 
simtime = 159, datain =10011111, dataout =11011011 
simtime = 160, datain =10100000, dataout =11010000 
simtime = 161, datain =10100001, dataout =11001101 
simtime = 162, datain =10100010, dataout =00111100 
simtime = 163, datain =10100011, dataout =00011010 
simtime = 164, datain =10100100, dataout =00001011 
simtime = 165, datain =10100101, dataout =01000010 
simtime = 166, datain =10100110, dataout =10010001 
simtime = 167, datain =10100111, dataout =00111100 
simtime = 168, datain =10101000, dataout =00111011 
simtime = 169, datain =10101001, dataout =01011000 
simtime = 170, datain =10101010, dataout =01010011 
simtime = 171, datain =10101011, dataout =01110010 
simtime = 172, datain =10101100, dataout =01110110 
simtime = 173, datain =10101101, dataout =11100000 
simtime = 174, datain =10101110, dataout =01000010 
simtime = 175, datain =10101111, dataout =11110110 
simtime = 176, datain =10110000, dataout =11100111 
simtime = 177, datain =10110001, dataout =01100011 
simtime = 178, datain =10110010, dataout =10001011 
simtime = 179, datain =10110011, dataout =11010011 
simtime = 180, datain =10110100, dataout =10111011 
simtime = 181, datain =10110101, dataout =00000011 
simtime = 182, datain =10110110, dataout =01001110 
simtime = 183, datain =10110111, dataout =10101001 
simtime = 184, datain =10111000, dataout =10011110 
simtime = 185, datain =10111001, dataout =10101110 
simtime = 186, datain =10111010, dataout =10101001 
simtime = 187, datain =10111011, dataout =11110101 
simtime = 188, datain =10111100, dataout =01110101 
simtime = 189, datain =10111101, dataout =01111010 
simtime = 190, datain =10111110, dataout =10001000 
simtime = 191, datain =10111111, dataout =00101110 
simtime = 192, datain =11000000, dataout =10101001 
simtime = 193, datain =11000001, dataout =11010000 
simtime = 194, datain =11000010, dataout =01100011 
simtime = 195, datain =11000011, dataout =00111111 
simtime = 196, datain =11000100, dataout =11010011 
simtime = 197, datain =11000101, dataout =10100110 
simtime = 198, datain =11000110, dataout =01100011 
simtime = 199, datain =11000111, dataout =01001001 
simtime = 200, datain =11001000, dataout =01101111 
simtime = 201, datain =11001001, dataout =00111000 
simtime = 202, datain =11001010, dataout =11000010 
simtime = 203, datain =11001011, dataout =01100011 
simtime = 204, datain =11001100, dataout =01100011 
simtime = 205, datain =11001101, dataout =00010010 
simtime = 206, datain =11001110, dataout =10111011 
simtime = 207, datain =11001111, dataout =01000101 
simtime = 208, datain =11010000, dataout =10101010 
simtime = 209, datain =11010001, dataout =11011011 
simtime = 210, datain =11010010, dataout =01111010 
simtime = 211, datain =11010011, dataout =01110110 
simtime = 212, datain =11010100, dataout =01011000 
simtime = 213, datain =11010101, dataout =11000101 
simtime = 214, datain =11010110, dataout =11010000 
simtime = 215, datain =11010111, dataout =11011000 
simtime = 216, datain =11011000, dataout =01110001 
simtime = 217, datain =11011001, dataout =11111010 
simtime = 218, datain =11011010, dataout =01110010 
simtime = 219, datain =11011011, dataout =10101110 
simtime = 220, datain =11011100, dataout =01010000 
simtime = 221, datain =11011101, dataout =00100001 
